created_at,language,likes,retweets,text
6/11/2020 20:04,en,29056,7096,...We need Karen in Washington badly! She loves Georgia and the USA. Has my Complete and Total Endorsement! Novembeâ€¦ https://t.co/WpBbTthiyo
6/11/2020 20:04,en,46632,10664,"Congratulations to @KarenHandel on running a great race and terrific primary victory - 75%, despite tough competitiâ€¦ https://t.co/2MDU6Bknxe"
6/11/2020 19:53,en,34145,8422,"Senator @JoniErnst of IOWA has a new book, â€œDaughter of the Heartland: My Ode to the Country That Raised Me.â€ The fâ€¦ https://t.co/bMoG2mPJOm"
6/11/2020 19:44,en,27643,6943,"...Unlike her Radical Liberal opponent, Theresa Greenfield, and Theresaâ€™s failed record in real estate, Joni standsâ€¦ https://t.co/hU2aHg4G12"
6/11/2020 19:44,en,49616,11972,"Few people have ever fought as strongly for Iowa as Senator @JoniErnst! A combat Veteran, her service to Iowa and oâ€¦ https://t.co/HMsMwR6zPi"
6/11/2020 19:42,en,28694,6745,"...Second Amendment. Matt has my Complete and Total Endorsement! We need him in Washington now! #NH01 
https://t.co/K4xoUlQiAI"
6/11/2020 19:42,en,47713,10978,Matt @Mowers is a champion for the Great State of New Hampshire! He was a winner in my Administration and he will aâ€¦ https://t.co/YC8KeAfccy
6/11/2020 19:33,en,26379,6936,"...of Schumer and Pelosi. David is Strong on Crime, our Military, Vets, Low Taxes and will protect your #2A at allâ€¦ https://t.co/6S9FmZ9mcf"
6/11/2020 19:33,en,49766,13076,We need our Great David Perdue (@PerdueSenate) in the Senate to Drain the Swamp &amp; Make America Great Again! His Radâ€¦ https://t.co/E88LzFsf8o
6/11/2020 19:30,en,29033,7645,"Chris @JacobsNY27 is a Great Winner and Fighter for New York. He will never let you down! Strong on Crime, Militaryâ€¦ https://t.co/CzWCsTUUxz"
6/11/2020 19:29,en,30934,7377,"...Strong on Crime, our Military, Vets and Low Taxes. Nancy has my Complete and Total Endorsement! November 3rd, aâ€¦ https://t.co/rDBo9HTHqI"
6/11/2020 19:29,en,57665,13613,"Despite very tough competition, @NancyMace had a tremendous victory on Tuesday in South Carolinaâ€™s 1st Congressionaâ€¦ https://t.co/aYkvej1Xa5"
6/11/2020 18:21,en,144205,32490,"Seriously failed presidential candidate, Senator Elizabeth â€œPocahontasâ€ Warren, just introduced an Amendment on theâ€¦ https://t.co/1IjyhhIRyM"
6/11/2020 18:08,en,116616,30950,Radical Left Governor @JayInslee and the Mayor of Seattle are being taunted and played at a level that our great Coâ€¦ https://t.co/TLdBz8YPQv
6/11/2020 17:24,en,182756,43511,Anarchists just took over Seattle and the Liberal Democrat Governor just said he knows â€œnothing about thatâ€.
6/11/2020 17:23,en,139241,33652,"June 14th just happens to be my birthday, thank you! Love our Boaters, Love our Country! #MAGA  
https://t.co/Om9pbHIaTU"
6/11/2020 15:07,en,133513,30762,"The Federal Reserve is wrong so often. I see the numbers also, and do MUCH better than they do. We will have a veryâ€¦ https://t.co/UomzvqgKPj"
6/11/2020 14:09,en,433364,91565,THOSE THAT DENY THEIR HISTORY ARE DOOMED TO REPEAT IT!
6/11/2020 14:02,en,106043,25539,Sleepy Joe Biden refuses to leave his basement â€œsanctuaryâ€ and tell his Radical Left BOSSES that they are heading iâ€¦ https://t.co/AsjqgnQ2WQ
6/11/2020 12:49,en,171356,34027,Our great National Guard Troops who took care of the area around the White House could hardly believe how easy it wâ€¦ https://t.co/2e2GZfAAmo
6/11/2020 3:38,en,246207,56128,"Domestic Terrorists have taken over Seattle, run by Radical Left Democrats, of course. LAW &amp; ORDER!"
6/11/2020 3:30,en,0,11732,"RT @MarshaBlackburn: Decades of failed engagement, Western investment and unfair trade tactics built China into an industrial behemoth, givâ€¦"
6/11/2020 3:27,en,108907,28673,â€œVery troubled by Durham probe findings.â€ A.G. Bill Barr  @BretBaier  @FoxNews
6/11/2020 2:36,en,81077,17896,...And the Trump family didnâ€™t ask the Federal government for money to carry this and many other very expensive toâ€¦ https://t.co/IXOkAJDZtT
6/11/2020 2:21,en,312347,51028,LAW &amp; ORDER!
6/11/2020 1:27,en,0,11660,"RT @dcexaminer: Since April, the @USCG and the @USNavy have stopped more than 94,000 pounds of cocaine and 9,200 pounds of marijuana from bâ€¦"
6/11/2020 1:22,und,0,14197,RT @Jim_Jordan: https://t.co/sSJoCxpqNF
6/11/2020 1:21,en,0,15111,"RT @IvankaTrump: Historic First: Under Trump, Half Of National Security Council Leaders Are Women #WGDP  https://t.co/KJpFD7DCAT"
6/10/2020 22:17,en,142336,48454,"So honored by Archbishop ViganÃ²â€™s incredible letter to me. I hope everyone, religious or not, reads it! https://t.co/fVhkCz89g5"
6/10/2020 21:37,en,61194,15646,"Congratulations to Dr. Rich McCormick (@RichforGA) on a BIG WIN in Georgia last night! We need you in Washington, Dâ€¦ https://t.co/6RqM2FFsoU"
6/10/2020 21:23,en,56541,13897,"Congratulations on last nights BIG WIN, @NancyMace! Keep up the great work so we can #MAGA! We need you in Washingtâ€¦ https://t.co/Trjea5iE6r"
6/10/2020 21:22,en,64569,13552,I am sending $219.9M to the San Diego area in CARES Act funding for @sdmts. These funds from @USDOT will be CRITICAâ€¦ https://t.co/Bz6pbVbv1W
6/10/2020 21:21,en,63745,14364,Big $$$$ headed to the Pittsburgh area! Iâ€™m sending $141.7M in CARES Act funding to @PGHtransit from @USDOT to aidâ€¦ https://t.co/FtQPG2p413
